,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t36,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,158.2082875003826,-1.554700738332265,-11370.588836773855,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3246.369949028187,88.39081947570487,0.0,-0.0,0.0,-0.0,0.0,0.0,-158.2082875003826,-1.554700738332265,-1550.4632316431537
t37,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,152.4868750466335,-1.4984768558373263,-11261.010073778736,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3215.647205031075,67.25192258817496,0.0,-0.0,0.0,-0.0,0.0,0.0,-152.4868750466335,-1.4984768558373263,-1535.1019710918677
t38,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,160.91448813869926,-1.5812943649806555,-11184.202529623279,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3194.1412842330965,65.52151282186003,0.0,-0.0,0.0,-0.0,0.0,0.0,-160.91448813869926,-1.5812943649806555,-1524.8611307243436
t39,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,165.92579811967784,-1.6305401247985198,-11063.358660152027,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3159.322174369702,54.19672397461782,0.0,-0.0,0.0,-0.0,0.0,0.0,-165.92579811967784,-1.6305401247985198,-1508.475786136305
t40,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,130.74108563139706,-1.2847826468066887,-11068.479163095724,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3160.346265836273,19.690338045097576,0.0,-0.0,0.0,-0.0,0.0,0.0,-130.74108563139706,-1.2847826468066887,-1509.4998701730574
t41,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,44.310547447437784,-0.4354363600090928,-11573.360753344263,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3304.7431626227,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-44.310547447437784,-0.4354363600090928,-1577.0894165987165
t42,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-57.20044018066862,-0.5621043498217522,-12308.66497605917,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3514.6819132696332,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,57.20044018066862,-0.5621043498217522,-1678.4737362372055
t43,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-42.72097507016107,-0.4198157538598778,-12206.254917185228,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3486.007352205662,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,42.72097507016107,-0.4198157538598778,-1664.1365597226716
t44,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,9.830522762710709,-0.0966037951541654,-11819.144894641726,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3375.4054738160576,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-9.830522762710709,-0.0966037951541654,-1611.9082738482987
t45,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,85.88940074372638,-0.8440285705694426,-11262.034174367476,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3215.647205031075,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-85.88940074372638,-0.8440285705694426,-1535.1019710918677
t46,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,196.4283034094696,-1.930285910839647,-10442.753703375933,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2982.154350653022,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-196.4283034094696,-1.930285910839647,-1423.4768110858545
t47,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,335.3625205214581,-3.2955818339315495,-9415.58081287029,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2688.2400997473155,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-335.3625205214581,-3.2955818339315495,-1283.1772980507737
t48,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,460.09908041032395,-4.521358465612602,-8484.67337770615,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2423.0004099055805,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-460.09908041032395,-4.521358465612602,-1157.214961530227
t49,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,541.2285502567408,-5.318611559388897,-7892.743237414762,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2254.0253179214637,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-541.2285502567408,-5.318611559388897,-1075.2882385900339
t50,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,591.9344689107511,-5.816894742999079,-7517.922421936132,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2147.5198053981417,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-591.9344689107511,-5.816894742999079,-1024.0840367524133
t51,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,616.2733098646756,-6.056070671131964,-7334.608416551775,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2094.26704913648,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-616.2733098646756,-6.056070671131964,-999.5060198703553
t52,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,622.3580201031846,-6.1158646531654615,-7287.49978946976,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2080.9538600710653,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-622.3580201031846,-6.1158646531654615,-993.3615156498408
t53,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,593.9627056569116,-5.836826070343486,-7495.392208983864,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2140.3511651321483,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-593.9627056569116,-5.836826070343486,-1022.0358686789086
t54,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,500.66381533353234,-4.9199850125007485,-8186.660106382977,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2338.0008181802364,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-500.66381533353234,-4.9199850125007485,-1116.2516000601306
t55,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,315.0801530598537,-3.096268560487473,-9562.027197060028,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2730.2278498767023,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-315.0801530598537,-3.096268560487473,-1303.6589787858222
t56,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,212.6541973787244,-2.0897365295946253,-10320.885733315941,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2947.3352407896286,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-212.6541973787244,-2.0897365295946253,-1407.091466497816
t57,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,247.3058299438622,-2.430255471962343,-10397.6932774714,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2969.865253054177,45.23299187500121,0.0,-0.0,0.0,-0.0,0.0,0.0,-247.3058299438622,-2.430255471962343,-1417.33230686534
t58,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,312.49022362482145,-3.070817522059015,-10354.681052744345,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2957.5761554553324,104.91344338554264,0.0,-0.0,0.0,-0.0,0.0,0.0,-312.49022362482145,-3.070817522059015,-1411.1878026448255
t59,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,338.1515957232857,-3.322989862575655,-10366.970259809215,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2960.6484298550436,132.87515589802814,0.0,-0.0,0.0,-0.0,0.0,0.0,-338.1515957232857,-3.322989862575655,-1413.2359707183302
t60,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,351.6997825778784,-3.4561268583594456,-10323.95803508216,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2948.3593322561987,140.41197552789063,0.0,-0.0,0.0,-0.0,0.0,0.0,-351.6997825778784,-3.4561268583594456,-1407.091466497816
t61,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,372.95652879513665,-3.6650152772953546,-10205.162366788387,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2914.5643138593755,145.49226557604638,0.0,-0.0,0.0,-0.0,0.0,0.0,-372.95652879513665,-3.6650152772953546,-1390.7061219097775
t62,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,390.2123821529975,-3.834587228170273,-10127.330722044191,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2893.058393061397,152.6768505172579,0.0,-0.0,0.0,-0.0,0.0,0.0,-390.2123821529975,-3.834587228170273,-1380.4652815422533
t63,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,385.2482292695766,-3.7858048775425908,-10018.776059637812,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2861.3115575977145,132.30265473189456,0.0,-0.0,0.0,-0.0,0.0,0.0,-385.2482292695766,-3.7858048775425908,-1365.1040209909668
t64,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,352.7222852667076,-3.466174914061114,-10026.968864347728,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2863.3597405308547,101.50524883907701,0.0,-0.0,0.0,-0.0,0.0,0.0,-352.7222852667076,-3.466174914061114,-1367.1521890644717
t65,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,231.008578233665,-2.270103626145992,-10528.778152830047,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3006.7325458507116,47.209100980530955,0.0,-0.0,0.0,-0.0,0.0,0.0,-231.008578233665,-2.270103626145992,-1435.7658195268834
t66,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,59.5223230436408,-0.5849213150921453,-11451.492783284271,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3270.9481442258766,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-59.5223230436408,-0.5849213150921453,-1561.7281560474303
t67,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,58.50820467056073,-0.5749556514199429,-11461.733789171665,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3272.9963271590177,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-58.50820467056073,-0.5749556514199429,-1562.7522400841826
t68,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,96.03058447448751,-0.9436852072910763,-11189.323032566977,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3195.1653756996666,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-96.03058447448751,-0.9436852072910763,-1524.8611307243436
t69,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,155.8635684862606,-1.5316593639514937,-10745.887477642806,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3069.2021253115067,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-155.8635684862606,-1.5316593639514937,-1464.440172555951
t70,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,255.24716904812107,-2.508294403827453,-10011.607355516637,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2859.263374664573,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-255.24716904812107,-2.508294403827453,-1364.0799369542146
t71,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,377.9554921908266,-3.7141397081640997,-9094.01322800611,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2597.0959592225495,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-377.9554921908266,-3.7141397081640997,-1240.1657685071725
t72,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,494.5791050950503,-4.860191030467519,-8235.81693464247,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2352.3380987122223,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-494.5791050950503,-4.860191030467519,-1122.3961042806452
t73,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,568.6097463299062,-5.587684478538394,-7683.826717311919,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2194.62801286038,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-568.6097463299062,-5.587684478538394,-1047.6379695977187
t74,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,606.132126133874,-5.956414034409929,-7406.295457763535,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2114.748878467888,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-606.132126133874,-5.956414034409929,-1009.7468602378797
