Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,539,67064
,,,,,,,,540,66504
,,,,,,,,541,65847
,,,,,,,,542,65314
,,,,,,,,543,65420
,,,,,,,,544,66741
,,,,,,,,545,68647
,,,,,,,,546,69756
,,,,,,,,547,69569
,,,,,,,,548,67691
,,,,,,,,549,64418
,,,,,,,,550,60498
,,,,,,,,551,56417
,,,,,,,,552,50266
,,,,,,,,553,43768
,,,,,,,,554,40234
,,,,,,,,555,40505
,,,,,,,,556,40420
,,,,,,,,557,48862
,,,,,,,,558,55193
,,,,,,,,559,63968
,,,,,,,,560,66393
,,,,,,,,561,66618
,,,,,,,,562,65949
,,,,,,,,563,65108
,,,,,,,,564,64529
,,,,,,,,565,63778
,,,,,,,,566,63284
,,,,,,,,567,63514
,,,,,,,,568,65125
,,,,,,,,569,67842
,,,,,,,,570,68934
,,,,,,,,571,69022
,,,,,,,,572,67297
,,,,,,,,573,64268
,,,,,,,,574,60563
,,,,,,,,575,56618
,,,,,,,,576,51286
,,,,,,,,577,46108
,,,,,,,,578,38525
,,,,,,,,579,33609
,,,,,,,,580,35998
,,,,,,,,581,43823
,,,,,,,,582,51368
,,,,,,,,583,57533
,,,,,,,,584,63877
,,,,,,,,585,66874
,,,,,,,,586,66400
,,,,,,,,587,65718
,,,,,,,,588,65206
,,,,,,,,589,64671
,,,,,,,,590,64255
,,,,,,,,591,64596
,,,,,,,,592,66321
,,,,,,,,593,68578
,,,,,,,,594,69426
,,,,,,,,595,69261
,,,,,,,,596,67493
,,,,,,,,597,64221
,,,,,,,,598,60192
,,,,,,,,599,53068
,,,,,,,,600,40999
,,,,,,,,601,31683
,,,,,,,,602,25909
,,,,,,,,603,24426
,,,,,,,,604,27141
,,,,,,,,605,34438
,,,,,,,,606,44183
,,,,,,,,607,52433
,,,,,,,,608,61851
,,,,,,,,609,66256
,,,,,,,,610,65946
,,,,,,,,611,65381
,,,,,,,,612,64794
,,,,,,,,613,64260
,,,,,,,,614,63735
,,,,,,,,615,63983
,,,,,,,,616,65372
,,,,,,,,617,66919
,,,,,,,,618,67896
,,,,,,,,619,67778
,,,,,,,,620,66162
,,,,,,,,621,63021
,,,,,,,,622,59189
,,,,,,,,623,50840
,,,,,,,,624,38096
,,,,,,,,625,29116
,,,,,,,,626,23790
,,,,,,,,627,22095
,,,,,,,,628,24491
,,,,,,,,629,31775
,,,,,,,,630,41735
,,,,,,,,631,51540
,,,,,,,,632,62249
,,,,,,,,633,66385
,,,,,,,,634,65956
,,,,,,,,635,65135
,,,,,,,,636,64188
,,,,,,,,637,63199
,,,,,,,,638,62260
,,,,,,,,639,62016
,,,,,,,,640,62930
,,,,,,,,641,64836
,,,,,,,,642,65569
,,,,,,,,643,65580
,,,,,,,,644,64480
,,,,,,,,645,62331
,,,,,,,,646,59534
,,,,,,,,647,52675
,,,,,,,,648,40985
,,,,,,,,649,32302
,,,,,,,,650,27130
,,,,,,,,651,24980
,,,,,,,,652,25889
,,,,,,,,653,30084
,,,,,,,,654,37322
,,,,,,,,655,46987
,,,,,,,,656,58004
,,,,,,,,657,62990
,,,,,,,,658,62583
,,,,,,,,659,61651
,,,,,,,,660,60345
,,,,,,,,661,59004
,,,,,,,,662,58006
,,,,,,,,663,57886
,,,,,,,,664,59389
,,,,,,,,665,62157
,,,,,,,,666,63657
,,,,,,,,667,64155
,,,,,,,,668,63522
,,,,,,,,669,61832
,,,,,,,,670,59591
,,,,,,,,671,51816
,,,,,,,,672,40258
,,,,,,,,673,31476
,,,,,,,,674,26629
,,,,,,,,675,24794
,,,,,,,,676,25885
,,,,,,,,677,29932
,,,,,,,,678,36919
,,,,,,,,679,46454
,,,,,,,,680,57034
,,,,,,,,681,61501
,,,,,,,,682,60415
,,,,,,,,683,59512
,,,,,,,,684,58589
,,,,,,,,685,57538
,,,,,,,,686,56884
,,,,,,,,687,57246
,,,,,,,,688,59253
,,,,,,,,689,62843
,,,,,,,,690,65112
,,,,,,,,691,65951
,,,,,,,,692,65119
,,,,,,,,693,62841
,,,,,,,,694,59859
,,,,,,,,695,51809
,,,,,,,,696,40326
,,,,,,,,697,32315
,,,,,,,,698,27886
,,,,,,,,699,26712
,,,,,,,,700,29631
,,,,,,,,701,37451
,,,,,,,,702,47042
,,,,,,,,703,55650
,,,,,,,,704,64717
,,,,,,,,705,68240
,,,,,,,,706,66716
,,,,,,,,707,65245
,,,,,,,,708,63962
,,,,,,,,709,62877
,,,,,,,,710,62008
,,,,,,,,711,61960
,,,,,,,,712,63591
,,,,,,,,713,66515
,,,,,,,,714,68043
,,,,,,,,715,68322
,,,,,,,,716,66710
,,,,,,,,717,63638
,,,,,,,,718,59752
,,,,,,,,719,51174
,,,,,,,,720,39316
,,,,,,,,721,30668
,,,,,,,,722,25769
,,,,,,,,723,24083
,,,,,,,,724,26488
,,,,,,,,725,33671
,,,,,,,,726,42530
,,,,,,,,727,50732
,,,,,,,,728,60066
,,,,,,,,729,64377
,,,,,,,,730,63394
,,,,,,,,731,62405
,,,,,,,,732,61608
,,,,,,,,733,60974
,,,,,,,,734,60393
,,,,,,,,735,60474
,,,,,,,,736,61780
,,,,,,,,737,64219
,,,,,,,,738,65530
,,,,,,,,739,65532
,,,,,,,,740,63975
,,,,,,,,741,60803
,,,,,,,,742,56933
,,,,,,,,743,47284
,,,,,,,,744,35201
,,,,,,,,745,26470
,,,,,,,,746,21529
,,,,,,,,747,19854
,,,,,,,,748,22085
,,,,,,,,749,29152
,,,,,,,,750,38291
,,,,,,,,751,47015
,,,,,,,,752,57302
,,,,,,,,753,62809
,,,,,,,,754,62408
,,,,,,,,755,61804
,,,,,,,,756,61366
,,,,,,,,757,60988
,,,,,,,,758,60623
,,,,,,,,759,60730
,,,,,,,,760,62048
,,,,,,,,761,64131
,,,,,,,,762,65099
,,,,,,,,763,65084
,,,,,,,,764,63648
,,,,,,,,765,60568
,,,,,,,,766,56745
,,,,,,,,767,47759
,,,,,,,,768,36168
,,,,,,,,769,27499
,,,,,,,,770,22236
,,,,,,,,771,20305
,,,,,,,,772,22569
,,,,,,,,773,29765
,,,,,,,,774,39147
,,,,,,,,775,48106
,,,,,,,,776,58462
,,,,,,,,777,63924
,,,,,,,,778,63405
,,,,,,,,779,62877
,,,,,,,,780,62356
,,,,,,,,781,61799
,,,,,,,,782,61383
,,,,,,,,783,61471
,,,,,,,,784,62558
,,,,,,,,785,64821
,,,,,,,,786,66057
,,,,,,,,787,66192
,,,,,,,,788,64910
,,,,,,,,789,61935
,,,,,,,,790,58313
,,,,,,,,791,49064
,,,,,,,,792,37668
,,,,,,,,793,29256
,,,,,,,,794,24341
,,,,,,,,795,22643
,,,,,,,,796,25011
,,,,,,,,797,32065
,,,,,,,,798,41234
,,,,,,,,799,50125
,,,,,,,,800,60470
,,,,,,,,801,65199
,,,,,,,,802,64600
,,,,,,,,803,63702
,,,,,,,,804,62864
,,,,,,,,805,62023
