region,Resource,Resource_Type,cluster,R_ID,Zone,CapRes_1,THERM,STOR,DR,HEAT,NACC,TRADER,HYDRO,FLEX,MUST_RUN,VRE,Num_VRE_Bins,ESR_1,ESR_2,Existing_Cap_MWh,Existing_Charge_Cap_MW,Existing_Cap_MW,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time
USA_Single,landbasedwind_ltrg1_mid_40_10,landbasedwind_ltrg1_mid_40_10,10,51,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2135,0,-1,0,-1,128928,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,landbasedwind_ltrg1_mid_40_11,landbasedwind_ltrg1_mid_40_11,11,52,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,4884,0,-1,0,-1,133447,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,landbasedwind_ltrg1_mid_40_12,landbasedwind_ltrg1_mid_40_12,12,53,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,3073,0,-1,0,-1,131400,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,landbasedwind_ltrg1_mid_40_13,landbasedwind_ltrg1_mid_40_13,13,54,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,21937,0,-1,0,-1,131948,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,landbasedwind_ltrg1_mid_40_14,landbasedwind_ltrg1_mid_40_14,14,55,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1705,0,-1,0,-1,133206,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,landbasedwind_ltrg1_mid_40_15,landbasedwind_ltrg1_mid_40_15,15,56,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1988,0,-1,0,-1,135151,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,utilitypv_losangeles_mid_0_2_1,utilitypv_losangeles_mid_0_2_1,1,57,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,3488,0,-1,0,-1,92345,12517,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,utilitypv_losangeles_mid_0_2_2,utilitypv_losangeles_mid_0_2_2,2,58,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,4284,0,-1,0,-1,92896,12517,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,utilitypv_losangeles_mid_0_2_3,utilitypv_losangeles_mid_0_2_3,3,59,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1782,0,-1,0,-1,91784,12517,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,utilitypv_losangeles_mid_0_2_4,utilitypv_losangeles_mid_0_2_4,4,60,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,3892,0,-1,0,-1,92304,12517,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
