,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1737,259.868,0.0,-0.0,0,-0.0,1455.912,57493.91353229688,0,0,-60663
t1738,607.313284128,0.0,-0.0,0,-0.0,3968.4480000000003,55977.93224816888,0,0,-62007
t1739,1286.253284128,0.0,-0.0,0,-0.0,0.0,59926.440248168874,0,0,-62666
t1740,607.313284128,0.0,-0.0,0,-0.0,1516.248,59600.13224816888,0,0,-63177
t1741,259.868,0.0,-0.0,0,-0.0,0.0,61803.825532296876,0,0,-63517
t1742,607.313284128,0.0,-0.0,0,-0.0,2546.68,59059.700248168876,0,0,-63667
t1743,607.313284128,0.0,-0.0,0,-0.0,2551.32,59171.06024816888,0,0,-63783
t1744,607.313284128,0.0,-0.0,0,-0.0,4252.557000000001,57157.823248168876,0,0,-63471
t1745,259.868,0.0,-0.0,0,-0.0,4258.7880000000005,57592.037532296876,0,0,-63564
t1746,607.313284128,0.0,-0.0,0,-0.0,4315.068,58028.31224816888,0,0,-64404
t1747,607.313284128,0.0,-0.0,0,-0.0,0.0,61992.380248168876,0,0,-64053
t1748,1286.253284128,0.0,-0.0,0,-0.0,2654.304,56334.13624816887,0,0,-61728
t1749,259.868,0.0,-0.0,0,-0.0,0.0,56577.825532296876,0,0,-58291
t1750,607.313284128,0.0,-0.0,0,-0.0,2161.88,49824.50024816888,0,0,-54047
t1751,607.313284128,0.0,-0.0,0,-0.0,2031.707,43156.673248168874,0,0,-47249
t1752,607.313284128,0.0,-0.0,0,-0.0,1589.76,36093.620248168874,0,0,-39744
t1753,259.868,0.0,-0.0,0,-0.0,771.96,29679.865532296877,0,0,-32165
t1754,607.313284128,0.0,-0.0,0,-0.0,797.04,26662.340248168875,0,0,-29520
t1755,607.313284128,0.0,-0.0,0,-0.0,1789.637,22860.743248168877,0,0,-26711
t1756,607.313284128,0.0,-0.0,0,-0.0,1348.6000000000001,30305.780248168878,0,0,-33715
t1757,259.868,0.0,-0.0,0,-0.0,127.554,40677.27153229688,0,0,-42518
t1758,607.313284128,0.0,-0.0,0,-0.0,3154.112,44068.268248168875,0,0,-49283
t1759,607.313284128,0.0,-0.0,0,-0.0,2160.36,49788.020248168876,0,0,-54009
t1760,607.313284128,0.0,-0.0,0,-0.0,0.0,56896.380248168876,0,0,-58957
t1761,259.868,0.0,-0.0,0,-0.0,1478.424,58409.40153229688,0,0,-61601
t1762,607.313284128,0.0,-0.0,0,-0.0,2692.1440000000002,57855.236248168876,0,0,-62608
t1763,607.313284128,0.0,-0.0,0,-0.0,2535.44,58789.940248168874,0,0,-63386
t1764,607.313284128,0.0,-0.0,0,-0.0,4291.349999999999,57698.03024816888,0,0,-64050
t1765,259.868,0.0,-0.0,0,-0.0,1737.801,60912.02453229688,0,0,-64363
t1766,259.868,0.0,-0.0,0,-0.0,2768.684,59906.14153229688,0,0,-64388
t1767,259.868,0.0,-0.0,0,-0.0,2766.362,59854.463532296875,0,0,-64334
t1768,607.313284128,0.0,-0.0,0,-0.0,0.0,61941.380248168876,0,0,-64002
t1769,607.313284128,0.0,-0.0,0,-0.0,0.0,62060.380248168876,0,0,-64121
t1770,607.313284128,0.0,-0.0,0,-0.0,1548.96,60930.42024816888,0,0,-64540
t1771,1286.253284128,0.0,-0.0,0,-0.0,4295.772,57080.66824816888,0,0,-64116
t1772,607.313284128,0.0,-0.0,0,-0.0,1666.062,57979.31824816887,0,0,-61706
t1773,607.313284128,0.0,-0.0,0,-0.0,3910.053,52388.32724816888,0,0,-58359
t1774,607.313284128,0.0,-0.0,0,-0.0,3633.946,48543.43424816888,0,0,-54238
t1775,607.313284128,0.0,-0.0,0,-0.0,3252.046,43225.33424816888,0,0,-48538
t1776,607.313284128,0.0,-0.0,0,-0.0,1859.406,39321.97424816887,0,0,-43242
t1777,607.313284128,0.0,-0.0,0,-0.0,1010.4480000000001,34352.93224816888,0,0,-37424
t1778,607.313284128,0.0,-0.0,0,-0.0,2105.475,27258.905248168874,0,0,-31425
t1779,607.313284128,0.0,-0.0,0,-0.0,0.0,26301.380248168876,0,0,-28362
t1780,607.313284128,0.0,-0.0,0,-0.0,0.0,26069.380248168876,0,0,-28130
t1781,259.868,0.0,-0.0,0,-0.0,0.0,31853.825532296876,0,0,-33567
t1782,607.313284128,0.0,-0.0,0,-0.0,2688.308,35375.07224816887,0,0,-40124
t1783,607.313284128,0.0,-0.0,0,-0.0,0.0,43848.380248168876,0,0,-45909
t1784,607.313284128,0.0,-0.0,0,-0.0,3567.8839999999996,47623.49624816887,0,0,-53252
t1785,259.868,0.0,-0.0,0,-0.0,0.0,58539.825532296876,0,0,-60253
t1786,607.313284128,0.0,-0.0,0,-0.0,4180.465,56153.91524816887,0,0,-62395
t1787,607.313284128,0.0,-0.0,0,-0.0,0.0,60998.380248168876,0,0,-63059
t1788,607.313284128,0.0,-0.0,0,-0.0,0.0,61465.380248168876,0,0,-63526
t1789,259.868,0.0,-0.0,0,-0.0,0.0,61867.825532296876,0,0,-63581
t1790,607.313284128,0.0,-0.0,0,-0.0,2536.84,58823.54024816888,0,0,-63421
t1791,607.313284128,0.0,-0.0,0,-0.0,2718.073,58432.30724816887,0,0,-63211
t1792,607.313284128,0.0,-0.0,0,-0.0,1500.576,58962.804248168875,0,0,-62524
