,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t185,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,7054.8528483149885,0.0,0.0,-14128.2872
t186,7073.434351685012,0.0,-0.0,0.0,-0.0,1208.8066965,7835.1815718149865,0.0,0.0,-16117.42262
t187,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9632.886948314987,0.0,0.0,-16706.3213
t188,7073.434351685012,0.0,-0.0,0.0,-0.0,1238.1534667499998,8197.125071564986,0.0,0.0,-16508.71289
t189,7073.434351685012,0.0,-0.0,0.0,-0.0,1205.5989854999998,7795.6198028149865,0.0,0.0,-16074.653139999999
t190,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,8225.448088314988,0.0,0.0,-15298.88244
t191,7073.434351685012,0.0,-0.0,0.0,-0.0,1064.521092,6055.659116314988,0.0,0.0,-14193.61456
t192,7073.434351685012,0.0,-0.0,0.0,-0.0,992.94768975,5172.920488564989,0.0,0.0,-13239.30253
t193,7073.434351685012,0.0,-0.0,0.0,-0.0,945.4653119999998,4587.304496314987,0.0,0.0,-12606.20416
t194,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,5126.184828314987,0.0,0.0,-12199.61918
t195,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,4949.580508314987,0.0,0.0,-12023.01486
t196,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,5006.536918314987,0.0,0.0,-12079.97127
t197,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,5421.810588314988,0.0,0.0,-12495.24494
t198,7073.434351685012,0.0,-0.0,0.0,-0.0,1022.3932147500001,5536.081963564989,0.0,0.0,-13631.90953
t199,7073.434351685012,0.0,-0.0,0.0,-0.0,1164.87428175,7293.348456564989,0.0,0.0,-15531.65709
t200,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9445.366968314986,0.0,0.0,-16518.80132
t201,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9704.712088314987,0.0,0.0,-16778.14644
t202,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9727.562708314988,0.0,0.0,-16800.99706
t203,7073.434351685012,0.0,-0.0,0.0,-0.0,1262.390295,8496.045953314986,0.0,0.0,-16831.8706
t204,7073.434351685012,0.0,-0.0,0.0,-0.0,1252.31688525,8371.807233064988,0.0,0.0,-16697.55847
t205,7073.434351685012,0.0,-0.0,0.0,-0.0,1242.22922925,8247.392809064988,0.0,0.0,-16563.05639
t206,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9452.411478314985,0.0,0.0,-16525.84583
t207,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9308.437918314987,0.0,0.0,-16381.872269999998
t208,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9141.137018314985,0.0,0.0,-16214.571369999998
t209,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9315.648318314989,0.0,0.0,-16389.08267
t210,7073.434351685012,0.0,-0.0,0.0,-0.0,1354.5253327499997,9632.378085564986,0.0,0.0,-18060.33777
t211,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,11282.605418314986,0.0,0.0,-18356.03977
t212,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,10916.945458314987,0.0,0.0,-17990.37981
t213,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,10339.702408314988,0.0,0.0,-17413.13676
t214,7073.434351685012,0.0,-0.0,0.0,-0.0,1235.8400362499997,8168.592762064985,0.0,0.0,-16477.86715
t215,7073.434351685012,0.0,-0.0,0.0,-0.0,1134.091203,6913.690485314987,0.0,0.0,-15121.21604
t216,7073.434351685012,0.0,-0.0,0.0,-0.0,1044.8110364999998,5812.568431814987,0.0,0.0,-13930.81382
t217,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,6116.195418314987,0.0,0.0,-13189.62977
t218,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,5639.760888314987,0.0,0.0,-12713.19524
t219,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,5384.201898314987,0.0,0.0,-12457.63625
t220,7073.434351685012,0.0,-0.0,0.0,-0.0,933.61615575,4441.164902564989,0.0,0.0,-12448.21541
t221,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,5770.497058314987,0.0,0.0,-12843.93141
t222,7073.434351685012,0.0,-0.0,0.0,-0.0,1044.92942625,5814.028572064988,0.0,0.0,-13932.39235
t223,7073.434351685012,0.0,-0.0,0.0,-0.0,1185.7591132500002,7550.928045064988,0.0,0.0,-15810.12151
t224,7073.434351685012,0.0,-0.0,0.0,-0.0,1263.3974887499999,8508.468009564987,0.0,0.0,-16845.29985
t225,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9810.20154831499,0.0,0.0,-16883.6359
t226,7073.434351685012,0.0,-0.0,0.0,-0.0,1258.09623375,8443.085864564986,0.0,0.0,-16774.61645
t227,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9682.693438314986,0.0,0.0,-16756.12779
t228,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9600.040748314988,0.0,0.0,-16673.4751
t229,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9443.256908314987,0.0,0.0,-16516.69126
t230,7073.434351685012,0.0,-0.0,0.0,-0.0,1229.020011,8084.479117314988,0.0,0.0,-16386.93348
t231,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9163.451408314988,0.0,0.0,-16236.88576
t232,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9086.391978314989,0.0,0.0,-16159.826330000002
t233,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9251.04920831499,0.0,0.0,-16324.48356
t234,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,10941.322168314986,0.0,0.0,-18014.75652
t235,7073.434351685012,0.0,-0.0,0.0,-0.0,1377.24479325,9912.584765064988,0.0,0.0,-18363.26391
t236,7073.434351685012,0.0,-0.0,0.0,-0.0,1350.40060875,9581.506489564987,0.0,0.0,-18005.34145
t237,7073.434351685012,0.0,-0.0,0.0,-0.0,1309.970916,9082.873612314988,0.0,0.0,-17466.27888
t238,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9498.564268314985,0.0,0.0,-16571.99862
t239,7073.434351685012,0.0,-0.0,0.0,-0.0,1146.95704875,7072.3692495649875,0.0,0.0,-15292.76065
t240,7073.434351685012,0.0,-0.0,0.0,-0.0,1056.1433579999998,5952.333730314988,0.0,0.0,-14081.91144
t241,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,6225.010958314988,0.0,0.0,-13298.44531
t242,7073.434351685012,0.0,-0.0,0.0,-0.0,957.6393585,4737.451069814988,0.0,0.0,-12768.52478
t243,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,5445.85096831499,0.0,0.0,-12519.28532
t244,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,5472.388388314987,0.0,0.0,-12545.82274
t245,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,5887.437368314986,0.0,0.0,-12960.87172
t246,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,6952.786058314988,0.0,0.0,-14026.22041
t247,7073.434351685012,0.0,-0.0,0.0,-0.0,1185.15611625,7543.4910820649875,0.0,0.0,-15802.08155
t248,7073.434351685012,0.0,-0.0,0.0,-0.0,1258.065753,8442.70993531499,0.0,0.0,-16774.21004
t249,7073.434351685012,0.0,-0.0,0.0,-0.0,1267.0086780000001,8553.006010314988,0.0,0.0,-16893.44904
