,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t142,46896.555317237304,9641.181470123145,-0.0,0,-0.0,0.0,0.0,0,0,-57993
t143,46524.3693612493,7000.367426111148,-0.0,0,-0.0,0.0,0.0,0,0,-54980
t144,47020.9861128743,1982.750674486142,-0.0,0,-0.0,0.0,0.0,0,0,-50459
t145,43854.94735747208,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-44146
t146,41886.53328362766,0.0,-4641.585926155571,0,-0.0,0.0,0.0,0,0,-37536
t147,41467.25461729618,0.0,-9179.307259824094,0,-0.0,0.0,0.0,0,0,-32579
t148,39118.02044704266,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-27585
t149,41025.45545868966,0.0,-11302.508101217572,0,-0.0,0.0,0.0,0,0,-30014
t150,41566.56379369078,0.0,-5040.616436218692,0,-0.0,0.0,0.0,0,0,-36817
t151,44907.73678736044,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-46363
t152,44600.10458825115,10762.632199109295,-0.0,0,-0.0,0.0,0.0,0,0,-56818
t153,46067.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-59347
t154,46010.66369778987,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-59290
t155,54974.7590758369,2295.977711523552,-0.0,0,-0.0,0.0,0.0,0,0,-58726
t156,57722.34123467353,0.0,-223.39387720144327,0,-0.0,0.0,0.0,0,0,-57790
t157,62727.28846514106,0.0,-6184.3411076689645,0,-0.0,0.0,0.0,0,0,-56834
t158,67552.36115713595,0.0,-11590.413799663856,0,-0.0,0.0,0.0,0,0,-56253
t159,68035.02044704265,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-56502
t160,68504.12721720176,0.0,-10272.179859729666,0,-0.0,0.0,0.0,0,0,-58523
t161,67476.77433119333,0.0,-6853.826973721235,0,-0.0,0.0,0.0,0,0,-60914
t162,61292.9473574721,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-61584
t163,61312.94735747209,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-61604
t164,51176.16160717521,7733.575180185231,-0.0,0,-0.0,0.0,0.0,0,0,-60365
t165,45119.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-58399
t166,43433.3424857383,10946.39430162215,-0.0,0,-0.0,0.0,0.0,0,0,-55835
t167,43699.9963620363,8029.740425324162,-0.0,0,-0.0,0.0,0.0,0,0,-53185
t168,46535.53900598737,1203.1977813730682,-0.0,0,-0.0,0.0,0.0,0,0,-49194
t169,43863.6163898633,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-45158
t170,43147.54725388948,0.0,-3591.5998964173996,0,-0.0,0.0,0.0,0,0,-39847
t171,40240.759854461976,0.0,-6972.812496989898,0,-0.0,0.0,0.0,0,0,-33559
t172,42997.71116848349,0.0,-11079.763811011402,0,-0.0,0.0,0.0,0,0,-32209
t173,43622.020447042654,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-32089
t174,42774.687234689656,0.0,-8737.739877217558,0,-0.0,0.0,0.0,0,0,-34328
t175,43316.4455708923,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-44019
t176,43044.75371803229,9706.983069328155,-0.0,0,-0.0,0.0,0.0,0,0,-54207
t177,44439.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-57719
t178,44468.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-57748
t179,53845.71680132027,2368.019986040173,-0.0,0,-0.0,0.0,0.0,0,0,-57669
t180,57262.09223055359,0.0,-48.14487308150545,0,-0.0,0.0,0.0,0,0,-57505
t181,64155.800417526305,0.0,-7377.853060054201,0,-0.0,0.0,0.0,0,0,-57069
t182,68285.02044704265,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-56752
t183,69105.02044704265,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-57572
t184,70229.03805787614,0.0,-10476.09070040404,0,-0.0,0.0,0.0,0,0,-60044
t185,67950.94125234694,0.0,-5397.993894874846,0,-0.0,0.0,0.0,0,0,-62844
t186,63498.947357472105,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-63790
t187,62868.596432609425,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-64256
t188,51386.5505088768,10061.18627848366,-0.0,0,-0.0,0.0,0.0,0,0,-62903
t189,46939.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-60219
t190,44689.109593733294,10897.627193627155,-0.0,0,-0.0,0.0,0.0,0,0,-57042
t191,43982.614071729164,6954.094216393798,-0.0,0,-0.0,0.0,0.0,0,0,-51724
t192,37829.94735747209,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-38121
t193,36200.53919657566,0.0,-7434.59183910357,0,-0.0,0.0,0.0,0,0,-29057
t194,35670.02044704266,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-24137
t195,34339.02044704266,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-22806
t196,37113.02044704266,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-25580
t197,36985.364957212536,0.0,-4041.4175997404527,0,-0.0,0.0,0.0,0,0,-33235
t198,42728.94735747209,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-43020
t199,51341.736787360445,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-52797
t200,50249.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-63529
t201,53645.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-66925
t202,53306.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-66586
t203,60286.97527799697,4264.761509363468,-0.0,0,-0.0,0.0,0.0,0,0,-66007
t204,65976.16979131447,0.0,-883.2224338423795,0,-0.0,0.0,0.0,0,0,-65384
t205,69705.47538552745,0.0,-5296.52802805536,0,-0.0,0.0,0.0,0,0,-64700
t206,75780.02044704268,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-64247
t207,76125.02044704267,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-64592
