,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t6717,17487.31057,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17487.31057
t6718,16745.59953,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16745.59953
t6719,15619.49807,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15619.49807
t6720,14519.573921094297,0.0,-29.788091094296515,0.0,-0.0,0.0,0.0,0.0,0.0,-14489.78583
t6721,13885.80449758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-13543.24145
t6722,12887.69486,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12887.69486
t6723,12270.956816524555,289.9453634754444,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12560.90218
t6724,12632.487567584412,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-12289.92452
t6725,12103.579466222342,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12418.73747
t6726,12491.95193,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12491.95193
t6727,12728.02013,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12728.02013
t6728,12946.197521094296,0.0,-29.788091094296515,0.0,-0.0,0.0,0.0,0.0,0.0,-12916.40943
t6729,13993.60720758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-13651.04416
t6730,14435.38549,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14435.38549
t6731,14817.311566222343,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15132.46957
t6732,15636.66371,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15636.66371
t6733,16372.754267584409,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16030.191219999999
t6734,16368.621959999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16368.621959999999
t6735,16747.777561094295,0.0,-29.788091094296533,0.0,-0.0,0.0,0.0,0.0,0.0,-16717.98947
t6736,16765.114720029094,315.15800377765703,-27.405043806752794,0.0,-0.0,0.0,0.0,0.0,0.0,-17052.86768
t6737,17185.35424092196,23.19562907803562,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17208.54987
t6738,17557.91124758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-17215.3482
t6739,17220.425306524554,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17510.37067
